,time,kWh,Latitude,Longitude,InternalNum,date,temperature_2m,dew_point_2m,rain,snowfall,apparent_temperature,relative_humidity_2m,precipitation,showers,snow_depth,weathercode,cloudcover,windspeed_10m,winddirection_10m,shortwave_radiation,surface_pressure,visibility
0,2023-06-16 10:00:00,2.1010854146153424,50.34903,30.95535,40861000.0,2023-06-16 01:00:00,16.837,14.987,17.715986,88.85355,0.0,0.0,0.0,3.0,90.0,5.3999996,360.0,0.0,0.0,999.50806,0.0,0.0
1,2023-06-16 11:00:00,73.67091458538465,50.34903,30.95535,40861000.0,2023-06-16 02:00:00,16.786999,14.937,17.431488,88.84952,0.0,0.0,0.0,0.0,5.0,6.87779,353.9911,0.0,0.0,999.40686,0.0,0.0
2,2023-06-16 12:00:00,0.0,50.34903,30.95535,40861000.0,2023-06-16 03:00:00,15.987,14.937,16.835136,93.49067,0.0,0.0,0.0,0.0,7.0,5.4833565,23.198618,0.0,0.0,999.56555,0.0,0.0
3,2023-06-16 13:00:00,0.0,50.34903,30.95535,40861000.0,2023-06-16 04:00:00,15.337001,14.587001,16.12409,95.28823,0.0,0.0,0.0,0.0,8.0,5.00128,30.256361,0.0,0.0,999.4354,0.0,0.0
4,2023-06-16 14:00:00,0.0,50.34903,30.95535,40861000.0,2023-06-16 05:00:00,14.887,14.287001,15.5467,96.20166,0.0,0.0,0.0,3.0,95.0,5.1165614,39.289394,0.0,0.0,999.3149,0.0,0.0
5,2023-06-16 15:00:00,0.0,50.34903,30.95535,40861000.0,2023-06-16 06:00:00,15.937,14.837001,16.5704,93.18769,0.0,0.0,0.0,3.0,100.0,6.696387,53.74608,45.0,17.0,999.3661,0.0,0.0
6,2023-06-16 16:00:00,0.0,50.34903,30.95535,40861000.0,2023-06-16 07:00:00,18.087,15.737,19.150517,86.15953,0.0,0.0,0.0,3.0,96.0,6.130579,86.63361,151.0,69.0,999.46936,0.0,0.0
7,2023-06-16 17:00:00,0.0,50.34903,30.95535,40861000.0,2023-06-16 08:00:00,20.437,16.087,21.934996,76.11511,0.0,0.0,0.0,0.0,0.0,4.1046314,105.25517,304.0,201.0,999.4823,0.0,0.0
8,2023-06-16 18:00:00,0.0,50.34903,30.95535,40861000.0,2023-06-16 09:00:00,22.637,14.887,23.396511,61.602978,0.0,0.0,0.0,1.0,22.0,5.937272,104.03627,476.0,379.0,999.7821,0.0,0.0
9,2023-06-16 19:00:00,0.0,50.34903,30.95535,40861000.0,2023-06-16 10:00:00,24.087,12.387,24.063099,47.973194,0.0,0.0,0.0,1.0,39.0,8.287822,92.4895,624.0,521.0,999.75037,0.0,0.0
