,time,kWh,Latitude,Longitude,InternalNum,date,temperature_2m,dew_point_2m,rain,snowfall,apparent_temperature,relative_humidity_2m,precipitation,showers,snow_depth,weathercode,cloudcover,windspeed_10m,winddirection_10m,shortwave_radiation,surface_pressure,visibility
0,2021-01-02 00:00:00,2.43568281938326,50.02788,36.35296,60160800.0,2021-01-02 00:00:00,0.9805,0.63049996,-2.713197,97.5101,0.7,0.0,0.05,53.0,100.0,11.435313,151.8215,0.0,0.0,997.36676,0.7,0.0
1,2021-01-02 01:00:00,2.4143171806167394,50.02788,36.35296,60160800.0,2021-01-02 01:00:00,1.0805,0.7305,-2.4236004,97.51211,0.3,0.0,0.05,51.0,100.0,10.24578,161.56496,0.0,0.0,997.5696,0.3,0.0
2,2021-01-02 02:00:00,0.0,50.02788,36.35296,60160800.0,2021-01-02 02:00:00,1.4805,1.1305,-1.8813944,97.52015,0.0,0.0,0.05,3.0,100.0,9.72,180.0,0.0,0.0,998.0872,0.0,0.0
3,2021-01-02 03:00:00,0.0,50.02788,36.35296,60160800.0,2021-01-02 03:00:00,1.7804999,1.4805,-1.5835984,97.876205,0.3,0.0,0.05,51.0,100.0,10.1376915,186.1154,0.0,0.0,998.3035,0.3,0.0
4,2021-01-02 04:00:00,0.0,50.02788,36.35296,60160800.0,2021-01-02 04:00:00,1.9305,1.6805,-1.3854163,98.22952,0.4,0.0,0.05,51.0,100.0,10.041354,194.5345,0.0,0.0,998.4118,0.4,0.0
5,2021-01-02 05:00:00,0.0,50.02788,36.35296,60160800.0,2021-01-02 05:00:00,2.0305,1.8805,-1.1725378,98.93522,0.1,0.0,0.05,51.0,100.0,9.504273,204.62355,0.0,0.0,998.81116,0.1,0.0
6,2021-01-02 06:00:00,0.0,50.02788,36.35296,60160800.0,2021-01-02 06:00:00,2.0305,1.9305,-1.1518531,99.28903,0.0,0.0,0.05,3.0,100.0,9.422101,226.54811,0.0,0.0,999.4985,0.0,0.0
7,2021-01-02 07:00:00,0.0,50.02788,36.35296,60160800.0,2021-01-02 07:00:00,2.0805,1.9305,-1.2393832,98.93565,0.0,0.0,0.05,3.0,100.0,10.365251,249.67677,0.0,0.0,1000.58185,0.0,0.0
8,2021-01-02 08:00:00,0.0,50.02788,36.35296,60160800.0,2021-01-02 08:00:00,1.9805,1.7305,-1.2809207,98.23024,0.0,0.0,0.05,3.0,96.0,9.726665,272.12103,1.0,0.0,1001.4586,0.0,0.0
9,2021-01-02 09:00:00,0.0,50.02788,36.35296,60160800.0,2021-01-02 09:00:00,2.1305,1.7804999,-1.3968654,97.53313,0.0,0.0,0.04,3.0,100.0,11.609651,277.1249,24.0,3.0,1002.9414,0.0,0.0
10,2021-01-02 10:00:00,0.0,50.02788,36.35296,60160800.0,2021-01-02 10:00:00,2.6305,1.8305,-1.3269348,94.46272,0.0,0.0,0.04,3.0,100.0,14.618837,279.92618,71.0,6.0,1003.9567,0.0,0.0
11,2021-01-02 11:00:00,0.0,50.02788,36.35296,60160800.0,2021-01-02 11:00:00,2.7805,1.6305,-1.3756461,92.136055,0.0,0.0,0.04,3.0,93.0,15.745627,280.53912,105.0,7.0,1004.5556,0.0,0.0
12,2021-01-02 12:00:00,0.0,50.02788,36.35296,60160800.0,2021-01-02 12:00:00,3.0805,1.3805,-1.1299706,88.59882,0.0,0.0,0.04,2.0,59.0,15.827721,287.19864,128.0,25.0,1004.96826,0.0,0.0
13,2021-01-02 13:00:00,0.0,50.02788,36.35296,60160800.0,2021-01-02 13:00:00,3.3805,1.0304999,-0.732466,84.58849,0.0,0.0,0.04,2.0,78.0,14.759999,282.68036,173.0,82.0,1005.5774,0.0,0.0
14,2021-01-02 14:00:00,0.0,50.02788,36.35296,60160800.0,2021-01-02 14:00:00,3.1805,1.3305,-0.36524582,87.65986,0.0,0.0,0.04,3.0,91.0,11.212135,264.47256,87.0,26.0,1006.3497,0.0,0.0
15,2021-01-02 15:00:00,2.03,50.02788,36.35296,60160800.0,2021-01-02 15:00:00,2.5805,0.8305,-0.78691006,88.2367,0.0,0.0,0.04,2.0,69.0,9.422101,263.41815,61.0,21.0,1007.1934,0.0,0.0
16,2021-01-02 16:00:00,0.0,50.02788,36.35296,60160800.0,2021-01-02 16:00:00,1.2305,0.0805,-1.9282465,92.0398,0.0,0.0,0.04,2.0,72.0,7.172949,252.47433,10.0,3.0,1007.88824,0.0,0.0
