,time,kWh,Latitude,Longitude,InternalNum,date,temperature_2m,dew_point_2m,rain,snowfall,apparent_temperature,relative_humidity_2m,precipitation,showers,snow_depth,weathercode,cloudcover,windspeed_10m,winddirection_10m,shortwave_radiation,surface_pressure,visibility
0,2023-02-21 11:00:00,0.045,48.41123,35.03868,41264000.0,2023-02-21 00:00:00,0.41599998,-3.234,-5.6130633,76.50567,0.1,0.0,0.04,71.0,100.0,23.686249,226.8476,0.0,0.0,986.7508,0.0,0.07
1,2023-02-21 12:00:00,0.0,48.41123,35.03868,41264000.0,2023-02-21 01:00:00,0.316,-2.3339999,-6.0295563,82.38337,0.4,0.0,0.04,73.0,100.0,26.649727,218.41809,0.0,0.0,985.0752,0.0,0.28
2,2023-02-21 13:00:00,0.0,48.41123,35.03868,41264000.0,2023-02-21 02:00:00,0.316,-1.884,-6.862765,85.16503,0.7,0.0,0.05,73.0,100.0,32.777794,218.7581,0.0,0.0,982.32605,0.0,0.48999998
3,2023-02-21 14:00:00,0.0,48.41123,35.03868,41264000.0,2023-02-21 03:00:00,0.61600006,-1.634,-6.8342276,84.88636,0.5,0.0,0.05,73.0,100.0,34.875435,224.58183,0.0,0.0,980.6767,0.0,0.35
4,2023-02-21 15:00:00,0.0,48.41123,35.03868,41264000.0,2023-02-21 04:00:00,1.116,-1.184,-6.3613186,84.63316,0.3,0.0,0.05,73.0,100.0,35.496075,233.24623,0.0,0.0,978.942,0.0,0.21000001
5,2023-02-21 16:00:00,0.0,48.41123,35.03868,41264000.0,2023-02-21 05:00:00,1.566,-1.184,-5.8087707,81.94513,0.2,0.0,0.06,71.0,100.0,34.793587,241.57889,0.0,0.0,977.9893,0.1,0.07
6,2023-02-21 17:00:00,0.0,48.41123,35.03868,41264000.0,2023-02-21 06:00:00,2.4160001,-0.834,-4.377288,79.12271,0.2,0.0,0.06,71.0,96.0,31.154043,247.5838,0.0,0.0,977.2588,0.1,0.07
7,2023-02-21 18:00:00,0.0,48.41123,35.03868,41264000.0,2023-02-21 07:00:00,3.316,0.566,-3.4442463,82.17775,0.1,0.0,0.05,51.0,100.0,32.396,255.19157,1.0,0.0,976.82544,0.1,0.0
8,2023-02-21 19:00:00,0.0,48.41123,35.03868,41264000.0,2023-02-21 08:00:00,3.8160002,1.166,-2.7243419,82.83653,0.0,0.0,0.05,1.0,42.0,31.559088,258.81827,27.0,0.0,976.9556,0.0,0.0
9,2023-02-21 20:00:00,0.0,48.41123,35.03868,41264000.0,2023-02-21 09:00:00,4.666,1.4660001,-1.3693547,79.74596,0.0,0.0,0.05,2.0,50.0,28.442278,270.72522,180.0,90.0,977.20575,0.0,0.0
10,2023-02-21 21:00:00,0.0,48.41123,35.03868,41264000.0,2023-02-21 10:00:00,6.166,1.9160001,0.28900385,74.21317,0.4,0.0,0.05,51.0,34.0,27.887802,281.16483,303.0,189.0,977.20215,0.4,0.0
11,2023-02-21 22:00:00,0.0,48.41123,35.03868,41264000.0,2023-02-21 11:00:00,6.766,1.7160001,0.15432262,70.201294,0.3,0.0,0.04,51.0,38.0,32.688713,286.6389,365.0,237.0,977.1414,0.3,0.0
12,2023-02-21 23:00:00,0.0,48.41123,35.03868,41264000.0,2023-02-21 12:00:00,7.516,0.21599999,0.80959415,59.866573,0.0,0.0,0.04,1.0,40.0,31.65135,289.25937,430.0,314.0,976.99164,0.0,0.0
13,2023-02-22 00:00:00,0.0,48.41123,35.03868,41264000.0,2023-02-21 13:00:00,7.2159996,0.316,0.97236156,61.54994,0.0,0.0,0.03,3.0,85.0,28.58545,286.83755,433.0,317.0,976.5803,0.0,0.0
14,2023-02-22 01:00:00,0.0,48.41123,35.03868,41264000.0,2023-02-21 14:00:00,4.816,2.066,0.12549686,82.37372,1.0,0.0,0.03,55.0,100.0,19.93048,286.79846,202.0,70.0,977.31354,1.0,0.0
15,2023-02-22 02:00:00,0.0,48.41123,35.03868,41264000.0,2023-02-21 15:00:00,6.066,1.9660001,0.8944473,74.99419,0.0,0.0,0.03,3.0,98.0,23.110207,274.46707,208.0,55.0,977.1961,0.0,0.0
16,2023-02-22 03:00:00,0.0,48.41123,35.03868,41264000.0,2023-02-21 16:00:00,4.4659996,1.566,-0.5038545,81.44941,0.0,0.0,0.03,3.0,100.0,21.2522,268.05856,118.0,20.0,977.4878,0.0,0.0
17,2023-02-22 04:00:00,0.0,48.41123,35.03868,41264000.0,2023-02-21 17:00:00,3.9160001,1.566,-1.1610475,84.65014,0.0,0.0,0.02,3.0,100.0,21.986542,272.8155,30.0,0.0,977.7474,0.0,0.0
