,Унікод АЗС,Address,Number,Region,Latitude,Longitude
19,41261100.0,"м. Підгородне, автодорога Знам'янка-Луганськ-Ізварине, 227км+580м",АЗС-35,Дніпропетровськ,48.581909,35.129894
20,40861500.0,"Фастівський р-н, селище Чабани, Одеське шосе, 12",АЗС-44,Київ,50.354504,30.435674
21,40312900.0,"Ужгородський р-н, с. Соломоново, автодорога Київ-Чоп, 828км+250м (праворуч) ",АЗС-29,Закарпаття,48.4347,22.16529
22,60160400.0,"Харківська обл., Харківський р-н, селище Пісочин, автодорога  Київ-Харків-Довжанський 463 км ",АЗС-33,Харків,49.95605,36.11087
23,40162800.0,"Львівський р-н, с. Гамаліївка, вул. Київська, 2",АЗС-30,Львів,48.88627,36.29922
24,40660900.0,"м. Сарни, вул. Варшавська, 4 Б",АЗС-25,Рівне,51.31633,26.61965
25,60160700.0,"Харківський р-н, с. Мала Рогань, вул. Шосейна, 2",АЗС-34,Харків,49.81882,36.03795
26,60560500.0,"Уманський р-н, с/р Фурманська, автодорога Київ-Одеса, 226км+700м",АЗС-46,Черкаси,48.566059,30.230684
27,40113200.0,"Стрийський р-н, м. Сколе, вул. Героїв Маківки, 10",АЗС-32,Львів,49.17718,23.77017
28,40114900.0,"м. Броди, вул. Березова, 1 А ",АЗС-49,Львів,50.06559,25.16356
29,41211500.0,"м. Олександрія, вул. Козацький шлях, 95",АЗС-15,Кіровоград,48.66523,33.08207
30,40860500.0,"Бориспільський р-н, с/р Іванківська, автодорога Київ-Харків-Довжанський, 45км+20м",АЗС-32,Київ,50.319615,31.033856
31,40160300.0,"Львівський р-н, м. Городок, вул. Львіська, 320 Б ",АЗС-51,Львів,49.7827,23.63938
32,40611700.0,"Рівненський р-н, с. Горбаків, вул. Центральна, 3 А",АЗС-28,Рівне,50.67244,26.27148
33,40510400.0,"м. Івано-Франківськ, с. Вовчинець, вул. Вовчинецька, 225 Д",АЗС-04,Івано-Франківськ,48.94194,24.73901
34,40118900.0,"Львівський р-н, с. Солонка, вул. Стрийська, 34",АЗС-89,Львів,49.75055,24.01561
35,40110300.0,"Львівський р-н, с. Рясне-Руське, вул. Кільцева, 5",АЗС-03,Львів,49.76575,24.01293
36,60260500.0,"Лубенський р-н, м. Пирятин, вул. Європейська, 171",АЗС-25,Полтава,50.22116,32.51718
37,23460100.0,"с/р Новоолександрівська, автодорога Бориспіль-Дніпропетровськ-Запоріжжя, 417км+680м ",АЗС-19,Дніпропетровськ,48.360481,35.027386
38,40511100.0,"Івано-Франківський р-н, с. Угринів, вул. Галицька, 23 А",АЗС-11,Івано-Франківськ,48.95336,24.70195
39,40263200.0,"Житомирський р-н, с/р Левківська, автодорога Київ-Чоп (на Будапешт через Львів, Мукачеве, Ужгород), 127км+198м ",АЗС-64,Житомир,50.286393,28.826337
40,40610700.0,"Рівненський р-н, с. Біла Криниця, вул. Рівненська, 112",АЗС-07,Рівне,50.60912,26.37798
41,40660600.0,"Рівненський р-н, с/рада Шпанівська, комплекс будівель та споруд №1",АЗС-06,Рівне,50.645199,26.200689
42,41061200.0,"Дніпропетровська обл.,  сщ/рада  Слобожанська,  комплекс будівель та споруд",АЗС-22,Дніпропетровськ,48.548346,35.073624
43,40810600.0,"Бучанський р-н, с. Калинівка, вул. Київська, 3 В",АЗС-06,Київ,50.41829,29.83905
44,41060100.0,"Одеський р-н, с/р Нерубайська, автодорога  Київ-Одеса 454км, будинок 1",АЗС-20,Одеса,46.53692,30.6536
45,40512900.0,"м. Калуш, вул. Івано-Франківська, 140",АЗС-29,Івано-Франківськ,49.03347,24.42962
46,60962300.0,"Бучанський р-н, селище Бородянка, вул. Семашка, 157 А",АЗС-67,Київ,50.65631,29.89512
47,40111700.0,"Яворівський р-н, селище Краковець, вул. Вербицького, 68 ",АЗС-17,Львів,49.96054,23.1461
48,60960100.0,"м. Київ, Наддніпрянське шосе, 10",АЗС-49,м. Київ,50.41115,30.56974
49,40511600.0,"м. Коломия, вул. Карпатська, 142 Б ",АЗС-16,Івано-Франківськ,48.53851,25.00575
50,60963800.0,"Фастівський р-н, тг Боярська, автодорога Київське півкільце-Крюківщина-Боярка, 6 км+922 м",АЗС-78,Київ,50.358519581545416,30.343913785599327
51,60960400.0,"м. Київ, вул. Милославська, 2 А",АЗС-28,м. Київ,50.53378,30.60821
52,41264000.0,"м.Дніпро, Соборний р-н, вул.Космічна, 32 Б",АЗС-55,Дніпропетровськ,48.41123,35.03868
53,46164000.0,"м. Одеса, вул. Саймона Літмана, 2 А",АЗС-45,Одеса,46.47933,30.6904
54,40861000.0,"Бориспільський р-н, с/р Іванківська, автодорога Київ-Харків-Довжанський, 45км+250м",АЗС-33,Київ,50.34903,30.95535
55,40162500.0,"м.Львів, вул.Личаківська, 152-Б",АЗС-99,Львів,49.8358,24.0714
56,40115300.0,"Володимирський р-н, м. Устилуг, вул. Володимирська, 3 Б",АЗС-53,Волинь,50.8632,24.16308
